security scan: 0 hit(s) in tree,index,build-context
security scan: 0 third-party hit(s) (dependency code, reported only)
security scan: exemption .env.example:34 (env_password_literal; owner=platform-security; expires=2027-08-31; active)
security scan: exemption .env.example:38 (env_password_literal; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sensitive_data.py:9 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_mcp_egress_guard.py:36 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_mcp_egress_guard.py:181 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_mcp_egress_guard.py:185 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_mcp_egress_guard.py:186 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_mcp_egress_guard.py:187 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_industry_chat_canary.py:13 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map-business-backend/tests/integration/test_config_audit.py:41 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map-business-backend/tests/integration/test_feedback.py:32 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map-business-backend/tests/integration/test_v1_error_matrix.py:33 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map-business-backend/tests/test_auth_boundary.py:27 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sensitive_data.py:32 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption README.md:336 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption README.md:337 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption README.md:353 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_cors_schema.py:57 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map-business-backend/tests/test_cors_schema.py:74 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_integration.py:102 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_ledger.py:112 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_ledger.py:293 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_ledger.py:330 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_crash_recovery.py:52 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_reconciler.py:149 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_router.py:156 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_router.py:477 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_router.py:525 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_router.py:564 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_router.py:699 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_router.py:744 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_tools.py:594 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sandbox_tools.py:639 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption scripts/test_security_scan.py:354 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption scripts/test_security_scan.py:355 (literal_password_assignment; owner=platform-security; expires=2027-08-31; active)
