security scan: 0 hit(s) in tree,index,build-context
security scan: 0 third-party hit(s) (dependency code, reported only)
security scan: exemption .env.example:34 (env_password_literal; owner=platform-security; expires=2027-08-31; active)
security scan: exemption .env.example:38 (env_password_literal; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sensitive_data.py:9 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_mcp_egress_guard.py:34 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_mcp_egress_guard.py:179 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_mcp_egress_guard.py:183 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_mcp_egress_guard.py:184 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_industry_chat_canary.py:14 (openai_key; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map-business-backend/tests/integration/test_config_audit.py:42 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map-business-backend/tests/integration/test_feedback.py:34 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map-business-backend/tests/integration/test_v1_error_matrix.py:39 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map-business-backend/tests/test_auth_boundary.py:28 (literal_secret_assignment; owner=platform-security; expires=2027-08-31; active)
security scan: exemption map_core/tests/test_sensitive_data.py:32 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption README.md:335 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption README.md:336 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
security scan: exemption README.md:352 (uri_embedded_password; owner=platform-security; expires=2027-08-31; active)
